k,Silhouette,Davies_Bouldin,Calinski_Harabasz,WCSS
2,0.21212831590730372,1.6729579232883736,209.2070474125939,2536.921129883385
3,0.1976522709606519,1.5935657180292304,169.87452512506113,2206.1689617023167
4,0.1912821043691922,1.4681710225214424,162.30085273146344,1922.8629280309974
5,0.1882392647074835,1.4696697720428973,155.02266557478467,1722.0077057895935
6,0.1779462383861059,1.3375576461248275,147.9492469278898,1573.7575768443307
7,0.18421434829762975,1.296895762375673,140.6018901210437,1463.875630877353
8,0.17318800727017866,1.3324715841896482,133.07915153610867,1381.7606419236479
9,0.17847137657247727,1.3824801498317365,124.83579938418951,1324.5898599309867
10,0.16973094729858343,1.4065859358574218,119.62146655453199,1263.9037816227856
11,0.17402352100347931,1.3295992154086944,115.0379856447732,1211.1295374508086
12,0.18056772523928416,1.362063671876312,112.84000127261343,1151.9770619087049
13,0.17459519095875853,1.34845398997203,108.36904546876042,1115.9732623033178
14,0.17568129359107623,1.3316783707692257,105.01662700630544,1079.0494362224283
15,0.16386607930226327,1.3717905108962472,101.68515099122685,1047.6143098935827
